elapsed_sec,step,jet_velocity_mean,jet_velocity_max,enstrophy,enstrophy_drift,tau_im_min,rho_mean,wec_margin,div_u,speedup_vs_wrf,simulated_days,spot_l4_cost_usd,spot_tpu_cost_usd,ondemand_cost_usd,hpc_cluster_cost_usd,residual_norm
165.44,35055,2.1872664242717152,2.71759935246637,0.7294053046549687,0.3608715840920318,0.9397337261975528,0.9466801907661809,1.0908795257541162,0.060065740316045106,1520.0,876.375,0.009190868576367696,0.016543563437461852,0.03216804001728693,0.8501553433140119,0.306740966478227
166.44,35317,2.1733606733858046,2.6983860260216197,0.7279250824419683,0.3621686024604877,0.9397622877581777,0.9466545114460859,1.0688253486708321,0.06005628911764637,1520.0,882.925,0.009246598389413621,0.016643877100944518,0.032363094362947674,0.8553103510207599,0.3078434320914145
167.44,35599,2.1585952205148375,2.6780073191718503,0.7263447065525267,0.36355337870534343,0.9397928274347552,0.9466270551743675,1.0621718027229532,0.06004611977663382,1520.0,889.975,0.009302259021335179,0.01674406623840332,0.03255790657467312,0.860458959473504,0.3090204918995419
168.44,35857,2.145266004705915,2.6596307513364366,0.7249103332917337,0.36481022274546876,0.9398205868238375,0.9466020998676965,1.064469236269123,0.06003681892775696,1520.0,896.425,0.009357873651716446,0.0168441725730896,0.03275255778100755,0.8656033127837711,0.3100888093336484
169.44,36139,2.1308891714407663,2.6398310746456333,0.7233549273826505,0.3661731194894628,0.9398507331247461,0.9465750002554549,1.073857578449847,0.06002665617890032,1520.0,903.475,0.009413602895206876,0.016944485211372377,0.03294761013322406,0.870758267806636,0.31124727156604337
170.45,36423,2.1166092565295953,2.6201867031983745,0.7218013941679775,0.367534375318311,0.9398808897728874,0.9465478928991412,1.0871701838665557,0.060016424830511915,1520.0,910.575,0.009469298137558832,0.017044736647605894,0.033142543481455906,0.8759100777241918,0.31240433902056436
171.45,36730,2.1013925679849645,2.599277637922733,0.720136396771632,0.3689932996524582,0.9399132622676385,0.946518795485158,1.090919668449634,0.06000536880921793,1520.0,918.25,0.009525021447075739,0.01714503860473633,0.033337575064765076,0.8810644838545058,0.3136444247045895
172.45,37034,2.086544611846808,2.5788991545992626,0.7185021384450471,0.370425289423836,0.9399450899447622,0.9464901895200031,1.096539032596878,0.05999442484038077,1520.0,925.85,0.009580603811475966,0.017245086860656737,0.03353211334016588,0.8862058525615268,0.3148616160102606
173.45,37339,2.071863002435176,2.5587722500140653,0.7168767495132402,0.3718495075459012,0.9399767971648829,0.9464616935435697,1.1017956711485548,0.05998344888262361,1520.0,933.475,0.009636214017868043,0.017345185232162476,0.03372674906253814,0.8913497966527939,0.316072201414016
174.45,37632,2.0579576466827714,2.5397308873531603,0.7153285436218217,0.3732060954025658,0.9400070475184639,0.9464345084897146,1.1148742301232026,0.059972908547351746,1520.0,940.8,0.00969190698199802,0.017445432567596435,0.033921674436993066,0.8965013958348168,0.3172253010921809
175.46,37901,2.0453591422451325,2.5224970637738204,0.7139184044417909,0.3744417047607527,0.9400346418306474,0.946409711704224,1.1010647122225405,0.05996323484532776,1520.0,947.525,0.009747578395737543,0.017545641112327575,0.0341165243850814,0.9016510016057226,0.3182755690466398
176.46,38176,2.0326424490515542,2.5051189501301017,0.7124877892760519,0.3756952558369752,0.9400626775868633,0.9463845195635401,1.0803240947552806,0.05995334859841524,1520.0,954.4,0.009803272843360902,0.017645891118049623,0.03431145495176315,0.9068027380108833,0.3193410874614289
177.46,38445,2.0203594466227495,2.4883501124276313,0.7110989781753019,0.3769121768452995,0.9400899335460213,0.9463600294163932,1.0649185815761528,0.05994368120494194,1520.0,961.125,0.009858947899606493,0.017746106219291687,0.03450631764862273,0.9119526807136006,0.32037547031850455
178.46,38686,2.009483800108087,2.473516255973908,0.7098635052389595,0.3779947380162457,0.940114212958543,0.9463382148401989,1.063880569591191,0.05993502273034376,1520.0,967.15,0.009914534979396396,0.01784616296291351,0.034700872427887386,0.9170944855941666,0.32129564731380883
179.46,38948,1.997796148370162,2.457589179899433,0.7085296667906126,0.37916349021633067,0.9401404601970631,0.9463146333458337,1.0812055468411514,0.05992561262016343,1520.0,973.7,0.009970127860705058,0.017946230149269105,0.0348954475124677,0.9222368271152179,0.32228908668388107
180.47,39234,1.9851962897038415,2.440435657365685,0.7070845465136721,0.3804297511380747,0.94016893808279,0.9462890490887186,1.0958275253082992,0.059915343887863175,1520.0,980.85,0.010025867780049644,0.018046562004089356,0.035090537230173746,0.9273927696545919,0.3233654084673635
181.47,39498,1.9737096962220453,2.4248128142312875,0.7057605519269455,0.3815898778296205,0.9401950664244773,0.9462655768600507,1.117211056421682,0.05990586818115673,1520.0,987.45,0.010081513378355238,0.018146724081039428,0.03528529682424333,0.9325399874978595,0.32435151615517743
182.47,39791,1.9611201271271335,2.407706365755179,0.7043021583192932,0.38286776927115596,0.9402238885361254,0.9462396860554141,1.1038888732290073,0.05989535509094634,1520.0,994.775,0.010137090616756016,0.018246763110160828,0.03547981715864605,0.9376808820499315,0.32543772388048253
183.47,40067,1.9494109617522317,2.391811750479525,0.7029388568042194,0.38406233795906286,0.9402508707422488,0.9462154493197993,1.0829527306195934,0.05988545534972561,1520.0,1001.675,0.010192705538537768,0.01834686996936798,0.03567446938488218,0.9428252623147435,0.32645310726520343
184.47,40345,1.9377612159180293,2.376012703057524,0.7015758041858202,0.3852566885556887,0.94027788613149,0.9461911840253754,1.0687819561695466,0.05987548717889372,1520.0,1008.625,0.010248409748077393,0.018447137546539306,0.03586943411827087,0.9479779016971589,0.32746830527233534
185.47,40618,1.926459313209809,2.3606996275996375,0.7002470223488211,0.38642100999008006,0.9403042589995904,0.9461674970495135,1.0608819215020406,0.059865701520675225,1520.0,1015.45,0.010303972495926753,0.01854715049266815,0.03606390373574363,0.9531174558732245,0.32845797849156805
186.47,40893,1.9152106534440574,2.345472639232323,0.6989181447678536,0.38758541531841956,0.9403306700443717,0.9461437769773695,1.062362609336042,0.059855847405965015,1520.0,1022.325,0.010359565880563526,0.018647218585014343,0.036258480581972334,0.958259843952126,0.3294477230206566
187.47,41165,1.904216598777174,2.330603772314882,0.6976131505423439,0.38872889328162635,0.9403566417275243,0.9461204526646431,1.0735732839348446,0.059846103981325206,1520.0,1029.125,0.010415199293030634,0.01874735872745514,0.03645319752560721,0.9634059346053335,0.3304196792893824
188.48,41424,1.8938677651261389,2.316619719694439,0.6963790875433451,0.38981021902006996,0.9403812339400826,0.9460983682723951,1.1008571456918705,0.059836829182922886,1520.0,1035.6,0.010470846176147462,0.018847523117065428,0.03664796161651611,0.9685532712936401,0.33133880616705946
189.48,41711,1.8825341841751368,2.3013185926995123,0.6950212334134089,0.39100001453370514,0.9404083291736913,0.9460740373052455,1.1177655734434273,0.05982655506078461,1520.0,1042.775,0.01052666633658939,0.0189479994058609,0.03684333217806286,0.9737166361345185,0.33235013235364935
190.48,41963,1.872696936799762,2.2880491524659483,0.6938372003247202,0.3920375024536953,0.9404319867727118,0.9460527942904987,1.0883393632834497,0.05981753678895078,1520.0,1049.075,0.01058246511883206,0.019048437213897706,0.037038627915912205,0.9788780234919654,0.333231997085641
191.49,42215,1.8629646524431893,2.2749318602889805,0.6926607610753626,0.39306833640713024,0.9404555210881033,0.9460316629261709,1.0645889857449227,0.05980852123554166,1520.0,1055.375,0.010638104240099588,0.01914858763217926,0.03723336484034856,0.9840246422092119,0.33410820594606067
192.49,42468,1.8532976315965617,2.261912949443625,0.6914871967656075,0.39409665124590787,0.940479026096537,0.9460105588217118,1.0616865404109683,0.059799472639516245,1520.0,1061.7,0.010693768501281738,0.019248783302307126,0.03742818975448608,0.9891735863685608,0.33498227355902166
193.49,42757,1.8423802827518978,2.2472226843997802,0.6901557697116101,0.39526329050461323,0.9405057269370971,0.9459865864673387,1.0665463184312765,0.05978913984573435,1520.0,1068.925,0.010749551958507964,0.01934919352531433,0.037623431854777865,0.9943335561619865,0.3359739169289212
